LOCALIDAD;DEPARTAMENTO;POBLACIÓN
GUATIMOZIN;MARCOS JUAREZ;2475
GUTEMBERG;RIO SECO;691
HERNANDO;TERCERO ARRIBA;10284
HUANCHILLA;JUAREZ CELMAN;1147
HUERTA GRANDE;PUNILLA;5933
HUINCA RENANCO;GENERAL ROCA;9487
ICHO CRUZ;PUNILLA;1921
IDIAZABAL;UNION;1556
IMPIRA;RIO SEGUNDO;163
INRIVILLE;MARCOS JUAREZ;3722
ISLA VERDE;MARCOS JUAREZ;4390
ITALO;GENERAL ROCA;1120
JAMES CRAIK;TERCERO ARRIBA;5250
JESUS MARIA;COLON;31864
JOVITA;GENERAL ROCA;4823
JUSTINIANO POSSE;UNION;8569
KILOMETRO 658;RIO PRIMERO;1033
LA BATEA;CRUZ DEL EJE;180
LA CALERA;COLON;32227
LA CARLOTA;JUAREZ CELMAN;12722
"LA CAROLINA ""EL POTOSI""";RIO CUARTO;165
LA CAUTIVA;RIO CUARTO;1014
LA CESIRA;ROQUE SAENZ PEÑA;1318
LA CRUZ;CALAMUCHITA;1551
LA CUMBRE;PUNILLA;7761
LA CUMBRECITA;CALAMUCHITA;776
LA FALDA;PUNILLA;16379
LA FRANCIA;SAN JUSTO;3804
LA GRANJA;COLON;3182
LA HIGUERA;CRUZ DEL EJE;411
LA LAGUNA;GENERAL SAN MARTIN;1524
LA PAISANITA;SANTA MARIA;155
LA PALESTINA;GENERAL SAN MARTIN;502
LA PAMPA;TOTORAL;952
LA PAQUITA;SAN JUSTO;964
LA PARA;RIO PRIMERO;3489
LA PAZ;SAN JAVIER;3580
LA PLAYA;MINAS;220
LA PLAYOSA;GENERAL SAN MARTIN;2757
LA POBLACION;SAN JAVIER;535
LA POSTA;RIO PRIMERO;241
LA PUERTA;RIO PRIMERO;2185
LA QUINTA;RIO PRIMERO;208
LA RANCHERITA Y LAS CASCADAS;SANTA MARIA;350
LA RINCONADA;RIO SECO;217
LA SERRANITA;SANTA MARIA;436
LA TORDILLA;SAN JUSTO;1257
LABORDE;UNION;5957
LABOULAYE;ROQUE SAENZ PEÑA;20658
LAGUNA LARGA;RIO SEGUNDO;7487
LAS ACEQUIAS;RIO CUARTO;2544
LAS ALBAHACAS;RIO CUARTO;342
LAS ARRIAS;TULUMBA;1179
LAS BAJADAS;CALAMUCHITA;141
LAS CALERAS;CALAMUCHITA;268
LAS CALLES;SAN ALBERTO;700
LAS CAÑADAS;CRUZ DEL EJE;272
LAS GRAMILLAS;RIO PRIMERO;109
LAS HIGUERAS;RIO CUARTO;6202
LAS ISLETILLAS;TERCERO ARRIBA;190
LAS JUNTURAS;RIO SEGUNDO;1748
LAS PALMAS;POCHO;123
LAS PEÑAS;TOTORAL;1664
LAS PEÑAS SUD;RIO CUARTO;148
LAS PERDICES;TERCERO ARRIBA;5144
LAS PLAYAS;CRUZ DEL EJE;962
LAS RABONAS;SAN ALBERTO;703
LAS SALADAS;RIO PRIMERO;134
LAS TAPIAS;SAN JAVIER;1936
LAS VARAS;SAN JUSTO;1320
LAS VARILLAS;SAN JUSTO;16316
LAS VERTIENTES;RIO CUARTO;766
LEGUIZAMON;ROQUE SAENZ PEÑA;55
LEONES;MARCOS JUAREZ;10529
LOS CEDROS;SANTA MARIA;1092
LOS CERRILLOS;SAN JAVIER;2306
LOS CHAÑARITOS;CRUZ DEL EJE;219
LOS CHAÑARITOS;RIO SEGUNDO;564
LOS CISNES;JUAREZ CELMAN;563
LOS COCOS;PUNILLA;1245
LOS CONDORES;CALAMUCHITA;2964
LOS HORNILLOS;SAN JAVIER;1228
LOS HOYOS;RIO SECO;279
LOS MISTOLES;TOTORAL;187
LOS MOLINOS;CALAMUCHITA;338
LOS POZOS;ISCHILIN;95
LOS REARTES;CALAMUCHITA;1426
LOS SURGENTES;MARCOS JUAREZ;2795
LOS TALARES;POCHO;157
LOS ZORROS;TERCERO ARRIBA;512
LOZADA;SANTA MARIA;1041
LUCA;GENERAL SAN MARTIN;563
LUCIO V. MANSILLA;TULUMBA;881
LUQUE;RIO SEGUNDO;6281
LUTTI;CALAMUCHITA;183
LUYABA;SAN JAVIER;1595
MALAGUEÑO;SANTA MARIA;13102
MALENA;RIO CUARTO;368
MALVINAS ARGENTINAS;COLON;12581
MANFREDI;RIO SEGUNDO;964
MAQUINISTA GALLINI;RIO PRIMERO;69
MARCOS JUAREZ;MARCOS JUAREZ;27071
MARULL;SAN JUSTO;1799
MATORRALES;RIO SEGUNDO;981
MATTALDI;GENERAL ROCA;1842
MAYU SUMAJ;PUNILLA;1383
MEDIA NARANJA;CRUZ DEL EJE;936
MELO;ROQUE SAENZ PEÑA;1254
MENDIOLAZA;COLON;10317
MI GRANJA;COLON;2149
MINA CLAVERO;SAN ALBERTO;9434
MIRAMAR;SAN JUSTO;2212
MONTE BUEY;MARCOS JUAREZ;6285
MONTE CRISTO;RIO PRIMERO;10332
MONTE DE LOS GAUCHOS;RIO CUARTO;694
MONTE LEÑA;UNION;436
MONTE MAIZ;UNION;7478
MONTE RALO;SANTA MARIA;535
MORRISON;UNION;3397
MORTEROS;SAN JUSTO;17124
NICOLAS BRUZONE;GENERAL ROCA;214
NOETINGER;UNION;4923
NONO;SAN ALBERTO;2408
OBISPO TREJO;RIO PRIMERO;2497
OLAETA;JUAREZ CELMAN;644
OLIVA;TERCERO ARRIBA;11809
OLIVARES DE SAN NICOLAS;ISCHILIN;615
ONAGOITY;GENERAL ROCA;63
ONCATIVO;RIO SEGUNDO;13295
